,timestamp,user_id,device,action,topic,birthday,gender,ip_address,create_at,category,region,keyword,status,error,requested_id,ticket_id,title
0,,,,,,,,,,,,,,,,,
1,2024-12-23T12:43:47.747091,ozgamza,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,2000-05-06,F,172.29.0.1,2024-12-23T12:36:46.809489,,,,,,,,
2,2024-12-23T14:33:21.928375,ozgamza,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,2000-05-06,F,172.29.0.1,2024-12-23T12:36:46.809489,,,,,,,,
3,2024-12-23T15:10:58.183458,ozgamza,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,2000-05-06,F,172.29.0.1,2024-12-23T12:36:46.809489,,,,,,,,
4,2024-12-23T15:24:08.876040,ozgamza,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,2000-05-06,F,172.29.0.1,2024-12-23T12:36:46.809489,,,,,,,,
5,2024-12-23T16:47:19.157215,aldms0603,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,1992-06-03,F,172.28.0.1,2024-12-23T16:46:59.250193,,,,,,,,
6,2024-12-23T17:07:41.778919,dyal123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,2009-06-29,F,172.28.0.1,2024-12-23T16:55:02.403797,,,,,,,,
7,2024-12-23T17:27:55.539517,ming123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,1995-12-05,F,172.28.0.1,2024-12-23T17:27:39.021292,,,,,,,,
8,2024-12-23T17:50:49.381352,ozgamza,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,2000-05-06,F,172.29.0.1,2024-12-23T12:36:46.809489,,,,,,,,
9,2024-12-26T15:46:50.290592,summerham,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login,Login_log,1992-03-05,None,172.29.0.1,2024-12-26T11:46:04.356324,,,,,,,,
10,2024-12-23T16:54:14.712940,aldms0603,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Logout,Logout_log,,,172.28.0.1,,,,,,,,,
11,2024-12-23T15:25:42.079848,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,,,페퍼톤스,,,,,
12,2024-12-23T15:25:45.098836,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,,,페퍼톤스,,,,,
13,2024-12-23T15:26:04.923033,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,,,페퍼톤스,,,,,
14,2024-12-23T15:32:14.409024,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
15,2024-12-23T15:32:14.756378,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
16,2024-12-23T15:32:47.870144,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
17,2024-12-23T15:33:20.060776,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
18,2024-12-23T15:33:26.517811,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
19,2024-12-23T15:55:12.468731,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,,,김창완,,,,,
20,2024-12-23T15:56:54.247585,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
21,2024-12-23T15:56:54.470188,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
22,2024-12-23T16:11:04.161890,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
23,2024-12-23T16:11:11.249478,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,뮤지컬/연극,,None,,,,,
24,2024-12-23T16:11:11.623992,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,뮤지컬/연극,,None,,,,,
25,2024-12-23T16:12:20.316652,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,뮤지컬/연극,,None,,,,,
26,2024-12-23T16:12:21.102403,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,뮤지컬/연극,,None,,,,,
27,2024-12-23T16:14:33.121118,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,뮤지컬/연극,,EWC 2024 SC2 뷰잉파티,,,,,
28,2024-12-23T16:14:35.771808,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,콘서트,,None,,,,,
29,2024-12-23T16:14:36.278601,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,콘서트,,None,,,,,
30,2024-12-23T16:14:37.276131,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,콘서트,,EWC 2024 SC2 뷰잉파티,,,,,
31,2024-12-23T16:14:38.482812,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
32,2024-12-23T16:14:38.532535,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
33,2024-12-23T16:14:39.923952,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,EWC 2024 SC2 뷰잉파티,,,,,
34,2024-12-23T16:23:02.524181,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,,,페퍼톤스,,,,,
35,2024-12-23T16:23:16.809468,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,,,페퍼톤스,,,,,
36,2024-12-26T15:17:08.192201,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,뮤지컬/연극,,None,,,,,
37,2024-12-26T15:47:23.233004,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
38,2024-12-26T15:47:23.400613,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
39,2024-12-26T15:47:48.616167,anonymous,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",search,Search_log,,,,,전시/행사,,None,,,,,
